EcritureDate,Intitule,Debit,Credit
01/01/2023,Ventes de marchandises,0.0,1145.24
01/01/2023,Ventes de marchandises,0.0,2265.35
01/01/2023,Ventes de marchandises,0.0,5283.59
01/01/2023,Ventes de marchandises,0.0,4576.13
01/01/2023,Ventes de marchandises,0.0,4187.51
01/01/2023,Ventes de marchandises,0.0,3647.95
01/01/2023,Ventes de marchandises,0.0,136.77
01/01/2023,Ventes de marchandises,0.0,1951.59
01/01/2023,Ventes de marchandises,0.0,5274.51
01/01/2023,Ventes de marchandises,0.0,2243.23
01/01/2023,Ventes de marchandises,0.0,4762.36
01/01/2023,Ventes de marchandises,0.0,1174.97
01/01/2023,Ventes de marchandises,0.0,3305.3
01/01/2023,Ventes de marchandises,0.0,3092.86
01/01/2023,Ventes de marchandises,0.0,5602.09
01/01/2023,Ventes de marchandises,0.0,1227.1
01/01/2023,Ventes de marchandises,0.0,4272.08
01/01/2023,Ventes de marchandises,0.0,714.53
01/01/2023,Ventes de marchandises,0.0,4533.18
01/01/2023,Ventes de marchandises,0.0,4291.39
01/01/2023,Ventes de marchandises,0.0,2979.36
01/01/2023,Ventes de marchandises,0.0,833.14
01/01/2023,Ventes de marchandises,0.0,2185.11
01/01/2023,Ventes de marchandises,0.0,1126.87
01/01/2023,Ventes de marchandises,0.0,4306.13
01/01/2023,Ventes de marchandises,0.0,3661.34
01/01/2023,Ventes de marchandises,0.0,2535.46
01/01/2023,Ventes de marchandises,0.0,3161.2
01/01/2023,Ventes de marchandises,0.0,1117.52
02/01/2023,Ventes de marchandises,0.0,0.87
02/01/2023,Ventes de marchandises,0.0,3008.92
02/01/2023,Ventes de marchandises,0.0,2729.74
02/01/2023,Ventes de marchandises,0.0,1498.85
02/01/2023,Ventes de marchandises,0.0,722.04
02/01/2023,Ventes de marchandises,0.0,3165.75
02/01/2023,Ventes de marchandises,0.0,2567.67
02/01/2023,Ventes de marchandises,0.0,728.22
02/01/2023,Ventes de marchandises,0.0,100.37
02/01/2023,Ventes de marchandises,0.0,3174.51
02/01/2023,Ventes de marchandises,0.0,5608.66
02/01/2023,Ventes de marchandises,0.0,4667.34
02/01/2023,Ventes de marchandises,0.0,4975.49
02/01/2023,Ventes de marchandises,0.0,3880.96
02/01/2023,Ventes de marchandises,0.0,4879.65
02/01/2023,Ventes de marchandises,0.0,5522.37
02/01/2023,Ventes de marchandises,0.0,4038.86
02/01/2023,Ventes de marchandises,0.0,5633.36
02/01/2023,Ventes de marchandises,0.0,2510.02
02/01/2023,Ventes de marchandises,0.0,1269.45
02/01/2023,Ventes de marchandises,0.0,2070.12
02/01/2023,Ventes de marchandises,0.0,665.92
02/01/2023,Ventes de marchandises,0.0,1511.04
02/01/2023,Ventes de marchandises,0.0,3564.45
02/01/2023,Ventes de marchandises,0.0,741.79
02/01/2023,Ventes de marchandises,0.0,3020.01
02/01/2023,Ventes de marchandises,0.0,5485.71
02/01/2023,Ventes de marchandises,0.0,3265.26
02/01/2023,Ventes de marchandises,0.0,4480.5
02/01/2023,Ventes de marchandises,0.0,3711.87
02/01/2023,Ventes de marchandises,0.0,3134.51
02/01/2023,Ventes de marchandises,0.0,2688.3
02/01/2023,Ventes de marchandises,0.0,5400.47
03/01/2023,Ventes de marchandises,0.0,5806.42
03/01/2023,Ventes de marchandises,0.0,5493.74
03/01/2023,Ventes de marchandises,0.0,2267.02
03/01/2023,Ventes de marchandises,0.0,5391.7
03/01/2023,Ventes de marchandises,0.0,50.69
03/01/2023,Ventes de marchandises,0.0,1648.37
03/01/2023,Ventes de marchandises,0.0,3107.77
03/01/2023,Ventes de marchandises,0.0,4290.2
03/01/2023,Ventes de marchandises,0.0,4272.47
03/01/2023,Ventes de marchandises,0.0,3220.75
03/01/2023,Ventes de marchandises,0.0,3981.64
03/01/2023,Ventes de marchandises,0.0,333.43
03/01/2023,Ventes de marchandises,0.0,4561.95
03/01/2023,Ventes de marchandises,0.0,3375.57
03/01/2023,Ventes de marchandises,0.0,5743.52
03/01/2023,Ventes de marchandises,0.0,5283.26
03/01/2023,Ventes de marchandises,0.0,4585.05
03/01/2023,Ventes de marchandises,0.0,5060.31
03/01/2023,Ventes de marchandises,0.0,3930.09
03/01/2023,Ventes de marchandises,0.0,1096.08
03/01/2023,Ventes de marchandises,0.0,3954.0
03/01/2023,Ventes de marchandises,0.0,4304.25
03/01/2023,Ventes de marchandises,0.0,2965.62
03/01/2023,Ventes de marchandises,0.0,3537.87
03/01/2023,Ventes de marchandises,0.0,2631.34
03/01/2023,Ventes de marchandises,0.0,5110.33
