EcritureDate,Intitule,Debit,Credit
01/01/2023,Achats de marchandises,5388.31,0.0
01/01/2023,Achats de marchandises,3104.41,0.0
01/01/2023,Achats de marchandises,4202.63,0.0
01/01/2023,Achats de marchandises,1472.34,0.0
01/01/2023,Achats de marchandises,1525.21,0.0
01/01/2023,Achats de marchandises,3558.27,0.0
01/01/2023,Achats de marchandises,900.44,0.0
01/01/2023,Achats de marchandises,1147.59,0.0
01/01/2023,Achats de marchandises,4794.83,0.0
01/01/2023,Achats de marchandises,2508.02,0.0
01/01/2023,Achats de marchandises,5920.03,0.0
01/01/2023,Achats de marchandises,5031.8,0.0
01/01/2023,Achats de marchandises,1802.87,0.0
01/01/2023,Achats de marchandises,3324.11,0.0
01/01/2023,Achats de marchandises,3586.6,0.0
01/01/2023,Achats de marchandises,1238.1,0.0
01/01/2023,Achats de marchandises,5375.38,0.0
01/01/2023,Achats de marchandises,1644.99,0.0
01/01/2023,Achats de marchandises,4240.66,0.0
01/01/2023,Achats de marchandises,4901.74,0.0
01/01/2023,Achats de marchandises,428.46,0.0
01/01/2023,Achats de marchandises,3823.15,0.0
01/01/2023,Achats de marchandises,3450.61,0.0
01/01/2023,Achats de marchandises,1053.87,0.0
01/01/2023,Achats de marchandises,5200.42,0.0
02/01/2023,Achats de marchandises,483.77,0.0
02/01/2023,Achats de marchandises,5532.11,0.0
02/01/2023,Achats de marchandises,5128.89,0.0
02/01/2023,Achats de marchandises,6123.56,0.0
02/01/2023,Achats de marchandises,4297.36,0.0
02/01/2023,Achats de marchandises,739.5,0.0
02/01/2023,Achats de marchandises,4570.53,0.0
02/01/2023,Achats de marchandises,3870.9,0.0
02/01/2023,Achats de marchandises,5172.88,0.0
02/01/2023,Achats de marchandises,1820.61,0.0
02/01/2023,Achats de marchandises,6299.23,0.0
02/01/2023,Achats de marchandises,2299.22,0.0
02/01/2023,Achats de marchandises,2149.68,0.0
02/01/2023,Achats de marchandises,2588.7,0.0
02/01/2023,Achats de marchandises,4620.19,0.0
02/01/2023,Achats de marchandises,838.85,0.0
02/01/2023,Achats de marchandises,935.98,0.0
02/01/2023,Achats de marchandises,2096.25,0.0
02/01/2023,Achats de marchandises,3374.84,0.0
02/01/2023,Achats de marchandises,2931.74,0.0
02/01/2023,Achats de marchandises,2906.76,0.0
02/01/2023,Achats de marchandises,5455.16,0.0
02/01/2023,Achats de marchandises,1032.75,0.0
02/01/2023,Achats de marchandises,1911.83,0.0
02/01/2023,Achats de marchandises,4977.02,0.0
03/01/2023,Achats de marchandises,1142.29,0.0
03/01/2023,Achats de marchandises,3519.89,0.0
03/01/2023,Achats de marchandises,2117.57,0.0
03/01/2023,Achats de marchandises,1618.78,0.0
03/01/2023,Achats de marchandises,4119.46,0.0
03/01/2023,Achats de marchandises,1267.6,0.0
03/01/2023,Achats de marchandises,2522.9,0.0
03/01/2023,Achats de marchandises,5683.86,0.0
03/01/2023,Achats de marchandises,3257.0,0.0
03/01/2023,Achats de marchandises,4775.72,0.0
03/01/2023,Achats de marchandises,5554.29,0.0
03/01/2023,Achats de marchandises,5591.92,0.0
03/01/2023,Achats de marchandises,2959.99,0.0
03/01/2023,Achats de marchandises,3332.14,0.0
03/01/2023,Achats de marchandises,5966.36,0.0
03/01/2023,Achats de marchandises,3635.77,0.0
03/01/2023,Achats de marchandises,1499.26,0.0
03/01/2023,Achats de marchandises,2938.7,0.0
